file,species
25c87a3cc,Maize
26103af9c,Black-grass
2719ff172,Fat Hen
273fdc7f5,Small-flowered Cranesbill
2760cb984,Fat Hen
280af96c0,Loose Silky-bent
281f52467,Loose Silky-bent
28277f807,Small-flowered Cranesbill
28e427bed,Shepherds Purse
295ddd0b8,Fat Hen
2982d5c21,Sugar beet
298d541a6,Loose Silky-bent
299190b08,Cleavers
29926ea63,Small-flowered Cranesbill
299fcd56d,Common Chickweed
29b4e98c4,Loose Silky-bent
301114e3e,Common Chickweed
302a3a8ba,Sugar beet
302f8959d,Fat Hen
303835197,Common Chickweed
3041d1470,Sugar beet
310656b36,Common Chickweed
31958c132,Loose Silky-bent
31bfdd75e,Black-grass
3217c1887,Sugar beet
322d8de2d,Black-grass
3232000bf,Cleavers
326c83b87,Loose Silky-bent
32bcfcf02,Scentless Mayweed
33ea3207a,Common Chickweed
3459d1d3f,Loose Silky-bent
34651cf34,Sugar beet
34c035273,Maize
3516267fc,Cleavers
364a60044,Scentless Mayweed
370af1cdd,Fat Hen
3767ec44e,Sugar beet
38cc62ed1,Loose Silky-bent
3f408c295,Shepherds Purse
4075e8be5,Black-grass
40eea04f4,Scentless Mayweed
413a7e4be,Loose Silky-bent
41c73ed49,Scentless Mayweed
41da62977,Cleavers
4204cd689,Sugar beet
42098546c,Common wheat
4239dbbcd,Loose Silky-bent
424cd33c0,Black-grass
42646d53e,Common wheat
42de1a9d5,Shepherds Purse
4301f9c21,Charlock
430dac673,Black-grass
433e4a3ff,Loose Silky-bent
436e5809f,Small-flowered Cranesbill
4444af894,Cleavers
4449f17c5,Cleavers
4481bff7c,Loose Silky-bent
44e7a9365,Scentless Mayweed
4507d5e15,Charlock
455546801,Black-grass
45d74776a,Scentless Mayweed
4609dd9e5,Loose Silky-bent
460ac5645,Small-flowered Cranesbill
4613b263e,Cleavers
464dc6968,Small-flowered Cranesbill
464e4863b,Small-flowered Cranesbill
4656b881d,Small-flowered Cranesbill
465bff6eb,Small-flowered Cranesbill
46c449cdf,Shepherds Purse
4729baa43,Maize
4731cb066,Small-flowered Cranesbill
47ca1a63c,Shepherds Purse
48011ba03,Sugar beet
4825503ed,Common Chickweed
482a936fc,Loose Silky-bent
4839e4577,Sugar beet
491286e9c,Cleavers
49a407787,Scentless Mayweed
5010487f2,Charlock
501d5f235,Loose Silky-bent
5089de64b,Common wheat
50ef0e765,Shepherds Purse
510f3ba19,Fat Hen
5121d936d,Fat Hen
5178de55d,Small-flowered Cranesbill
5251d7bbf,Maize
525ba66d4,Small-flowered Cranesbill
528ef22fe,Fat Hen
52e1bd10e,Shepherds Purse
52f0b365d,Shepherds Purse
5363a9f84,Scentless Mayweed
5374f4b77,Black-grass
549a41c42,Loose Silky-bent
54f414890,Scentless Mayweed
559dae100,Loose Silky-bent
55fef4910,Charlock
56426cc09,Sugar beet
565d13821,Fat Hen
5713630ed,Common Chickweed
57d839cf9,Black-grass
57df08978,Black-grass
57fe6d08a,Shepherds Purse
581c0ecb3,Cleavers
58b8aa1f3,Loose Silky-bent
58d70ef74,Black-grass
58e87687a,Loose Silky-bent
591daf862,Cleavers
595d95e1f,Common wheat
59cb79559,Maize
5bdfa3a44,Charlock
5f1fd3c70,Fat Hen
60884bb5f,Sugar beet
60ee96ab9,Shepherds Purse
611b0a0ef,Small-flowered Cranesbill
614b0792a,Fat Hen
6182bd48c,Loose Silky-bent
61a79f4a1,Small-flowered Cranesbill
62368871d,Common wheat
628294daf,Common wheat
629176d9d,Common wheat
62d1b63f3,Scentless Mayweed
635dc514d,Small-flowered Cranesbill
63b3aba11,Scentless Mayweed
63bbcaafe,Scentless Mayweed
643b99d1d,Small-flowered Cranesbill
64a6f6f65,Maize
64f46676b,Fat Hen
6504263bb,Common Chickweed
650dd0e5a,Loose Silky-bent
654021d0e,Common Chickweed
655b9fa57,Small-flowered Cranesbill
65ab41503,Fat Hen
65b4ebc41,Maize
65c207aa6,Black-grass
661a6866f,Fat Hen
665b921f2,Maize
66f70d982,Scentless Mayweed
67054ec9d,Sugar beet
6724b064e,Small-flowered Cranesbill
672982f1f,Common Chickweed
67cd81694,Scentless Mayweed
68f032e5b,Scentless Mayweed
698ce4468,Loose Silky-bent
69a3ef92d,Loose Silky-bent
69af17ea5,Scentless Mayweed
69da83055,Common Chickweed
69ed658dd,Scentless Mayweed
6ce2cfd88,Shepherds Purse
6cfecf7c5,Fat Hen
704b0fe2c,Fat Hen
70aedd14d,Sugar beet
70ea37ffc,Loose Silky-bent
7162a91f1,Sugar beet
72a81627f,Loose Silky-bent
72b292a3b,Shepherds Purse
730b45269,Loose Silky-bent
73a9fb9aa,Loose Silky-bent
7405aee1b,Small-flowered Cranesbill
741dc05da,Small-flowered Cranesbill
748fd9df6,Sugar beet
749646c56,Maize
749f91a6f,Small-flowered Cranesbill
74fd5da5b,Shepherds Purse
754cc58bf,Charlock
759d40ddf,Loose Silky-bent
75d522cd3,Common Chickweed
762fc13b0,Small-flowered Cranesbill
7736aedff,Black-grass
77990844c,Common Chickweed
77b27933d,Loose Silky-bent
77dc3df93,Loose Silky-bent
77ea88509,Loose Silky-bent
7801b889c,Sugar beet
780b7ab63,Loose Silky-bent
782fcd40d,Small-flowered Cranesbill
78cbf0faf,Loose Silky-bent
78d0fe480,Scentless Mayweed
794b914bf,Cleavers
796b61337,Cleavers
798852825,Maize
79cc28175,Loose Silky-bent
79eb0958f,Scentless Mayweed
7abe4427d,Fat Hen
7d5f8aab4,Scentless Mayweed
7f3369186,Sugar beet
801c3e668,Small-flowered Cranesbill
8023cf2e2,Small-flowered Cranesbill
8032a7f05,Small-flowered Cranesbill
8035a175e,Cleavers
8129d97cd,Fat Hen
817abcd36,Sugar beet
819c6ac1d,Charlock
81db6f8a2,Fat Hen
823b197a3,Sugar beet
82561432a,Common Chickweed
82a15579e,Scentless Mayweed
82e4a193e,Loose Silky-bent
8384040ba,Shepherds Purse
8439a7dad,Maize
8479c6a25,Sugar beet
84ba8107f,Maize
84d2e187d,Scentless Mayweed
850a09a6b,Black-grass
853b1a32e,Cleavers
854146480,Common Chickweed
85c77d977,Small-flowered Cranesbill
8668f7d12,Maize
8674eacd1,Small-flowered Cranesbill
86dfb25ea,Black-grass
86f407dd7,Loose Silky-bent
870cbbd42,Loose Silky-bent
872174e0f,Common wheat
8723bd1e8,Sugar beet
875ef92d7,Loose Silky-bent
8761bb6e1,Maize
87ab65336,Loose Silky-bent
87cafd4dc,Small-flowered Cranesbill
87d1a75df,Small-flowered Cranesbill
87e65b6d9,Small-flowered Cranesbill
88314d63e,Small-flowered Cranesbill
88823573a,Common Chickweed
88a48f427,Loose Silky-bent
88e24e307,Small-flowered Cranesbill
88e4077c5,Fat Hen
88ea1ed2a,Cleavers
891c720f8,Loose Silky-bent
892382b05,Common Chickweed
897db9248,Loose Silky-bent
898ecfa78,Fat Hen
898f2827c,Common wheat
899877fe1,Cleavers
899e696a1,Sugar beet
89d260299,Small-flowered Cranesbill
8a8b1f0fd,Black-grass
8df9991b8,Cleavers
904f0f781,Sugar beet
905ce5eb9,Sugar beet
907817b91,Sugar beet
909da3410,Small-flowered Cranesbill
90e1ab9bd,Small-flowered Cranesbill
914aa19ae,Small-flowered Cranesbill
91a5d8724,Fat Hen
91bc7d91c,Fat Hen
91c33cc1c,Fat Hen
9214c2997,Cleavers
922f5f1d1,Small-flowered Cranesbill
92e4b5803,Scentless Mayweed
931fb856a,Small-flowered Cranesbill
939d7da03,Small-flowered Cranesbill
93d6a65a2,Shepherds Purse
93d9858f0,Loose Silky-bent
93f8327c5,Loose Silky-bent
943edde10,Loose Silky-bent
94613db53,Common Chickweed
946b48f62,Fat Hen
94adb2c3b,Shepherds Purse
94ba133c0,Scentless Mayweed
952f0a5fa,Sugar beet
957b8523c,Black-grass
95b1c779f,Black-grass
96c6d3af6,Common Chickweed
96def553d,Loose Silky-bent
978ca7607,Loose Silky-bent
978de5160,Sugar beet
979a39f22,Maize
97da6a579,Maize
97e8ebbbe,Loose Silky-bent
97ea07cab,Scentless Mayweed
982130e94,Maize
985e72cfb,Scentless Mayweed
98756045d,Common wheat
988113525,Maize
98ad03ef1,Scentless Mayweed
990636602,Common wheat
9977e50bc,Maize
997fc29b0,Fat Hen
997ffd9ae,Loose Silky-bent
999f75899,Sugar beet
99ec6cf98,Scentless Mayweed
99f32c27f,Loose Silky-bent
9ac112817,Shepherds Purse
9c6d64872,Scentless Mayweed
9d25b73be,Maize
9d63dc050,Scentless Mayweed
9dc4c048e,Scentless Mayweed
9e0ef139f,Sugar beet
9e966d9db,Cleavers
a03bc7b24,Loose Silky-bent
a0405de4d,Loose Silky-bent
a04f38d7e,Common Chickweed
a04fbc0cd,Common wheat
a0c39c1dd,Common Chickweed
a1c72af26,Common wheat
a1d7080b1,Small-flowered Cranesbill
a1f2c5550,Sugar beet
a25f5ccb5,Common wheat
a300eb8b2,Fat Hen
a38aa2204,Common Chickweed
a3e3b178c,Common Chickweed
a40bd448a,Sugar beet
a413c7490,Common wheat
a42ddba4f,Common Chickweed
a47105ef4,Common Chickweed
a53088ca0,Loose Silky-bent
a5b9d84a3,Common Chickweed
a5f23b59f,Loose Silky-bent
a6c251d63,Common Chickweed
a8045aea3,Common Chickweed
a8409b0a0,Common wheat
a85a62939,Common Chickweed
a87fd277c,Loose Silky-bent
a88bd5aef,Common Chickweed
a8968f15a,Common Chickweed
a96438dae,Common Chickweed
a98a9b092,Common Chickweed
aa28f442c,Common Chickweed
ab6338bd1,Common Chickweed
ab9a60c53,Common Chickweed
aba570b21,Common Chickweed
abe0f4751,Loose Silky-bent
ac0b860c4,Common Chickweed
ac85f848f,Common Chickweed
ae7415e25,Common Chickweed
af005febb,Common Chickweed
af98e2c11,Common Chickweed
afeabc763,Common Chickweed
b024eeb75,Black-grass
b0b543038,Common Chickweed
b176751f4,Small-flowered Cranesbill
b25c85290,Common Chickweed
b26a7a6ed,Loose Silky-bent
b35eaa0a1,Common Chickweed
b40d58c8e,Common Chickweed
b61695466,Common Chickweed
b962fdcfc,Common Chickweed
b9c8f7046,Common Chickweed
b9dfffe2a,Loose Silky-bent
b9e36fa79,Fat Hen
b9f4cec11,Common Chickweed
bab8eb04a,Black-grass
bac2710a2,Black-grass
bb52da32b,Common Chickweed
bb7ac7386,Common Chickweed
bc68a27f9,Loose Silky-bent
bcf088ff7,Common Chickweed
bd4304980,Common Chickweed
bd4565df5,Common Chickweed
bddde0312,Common Chickweed
be325b3b9,Common Chickweed
befaed3e4,Common wheat
bf5662989,Loose Silky-bent
d04eff450,Charlock
d0641b545,Charlock
d2f07f3af,Charlock
d31803377,Charlock
d3228543a,Charlock
d37702684,Shepherds Purse
d633facf4,Charlock
d733b32d8,Charlock
d8da05d11,Charlock
d9d4e0305,Charlock
d9de67550,Charlock
da2aa8585,Charlock
db96c0bab,Small-flowered Cranesbill
dc20df305,Charlock
ddcc7d9bf,Charlock
ddf0958d2,Charlock
de0e95661,Charlock
de1dc1b00,Sugar beet
de2cf9517,Charlock
df7d711a9,Charlock
e23998a9b,Charlock
e260cb2db,Charlock
e262e89e9,Charlock
e28fd1de4,Charlock
e71a5f489,Charlock
e80aaab6b,Charlock
e84b5ba79,Charlock
ea0751e51,Shepherds Purse
ea31723d5,Charlock
ead0df392,Charlock
eb9d116cf,Charlock
ec48facfa,Charlock
ed260e354,Charlock
eda5cd97f,Charlock
ee111c2ae,Charlock
ee4a02bf9,Charlock
eeee1a97b,Charlock
eeee9e96c,Charlock
